Order,Yr Sold,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,SalePrice,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Mo Sold,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Open Porch SF,Foundation,Bsmt Qual,Wood Deck SF,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Fireplace Qu,Garage Yr Blt,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Garage Type,Garage Finish
1,2010,20,RL,141,31770,Pave,215000,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,5,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112,TA,62,CBlock,TA,210,Gd,BLQ,639,Unf,0,441,1080,GasA,Fa,Gd,1960,1656,0,0,1656,1,0,1,0,3,1,TA,7,Typ,Attchd,Fin
2,2010,20,RH,80,11622,Pave,105000,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,6,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0,TA,0,CBlock,TA,140,No,Rec,468,LwQ,144,270,882,GasA,TA,NA,1961,896,0,0,896,0,0,1,0,2,1,TA,5,Typ,Attchd,Unf
3,2010,20,RL,81,14267,Pave,172000,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,6,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,TA,36,CBlock,TA,393,No,ALQ,923,Unf,0,406,1329,GasA,TA,NA,1958,1329,0,0,1329,0,0,1,1,3,1,Gd,6,Typ,Attchd,Unf
4,2010,20,RL,93,11160,Pave,244000,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,4,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0,Gd,0,CBlock,TA,0,No,ALQ,1065,Unf,0,1045,2110,GasA,Ex,TA,1968,2110,0,0,2110,1,0,2,1,3,1,Ex,8,Typ,Attchd,Fin
5,2010,60,RL,74,13830,Pave,189900,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,3,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,34,PConc,Gd,212,No,GLQ,791,Unf,0,137,928,GasA,Gd,TA,1997,928,701,0,1629,0,0,2,1,3,1,TA,6,Typ,Attchd,Fin
6,2010,60,RL,78,9978,Pave,195500,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,6,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,TA,36,PConc,TA,360,No,GLQ,602,Unf,0,324,926,GasA,Ex,Gd,1998,926,678,0,1604,0,0,2,1,3,1,Gd,7,Typ,Attchd,Fin
7,2010,120,RL,41,4920,Pave,213500,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,4,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,None,0,Gd,0,PConc,Gd,0,Mn,GLQ,616,Unf,0,722,1338,GasA,Ex,NA,2001,1338,0,0,1338,1,0,2,0,2,1,Gd,6,Typ,Attchd,Fin
8,2010,120,RL,43,5005,Pave,191500,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,1,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,82,PConc,Gd,0,No,ALQ,263,Unf,0,1017,1280,GasA,Ex,NA,1992,1280,0,0,1280,0,0,2,0,2,1,Gd,5,Typ,Attchd,RFn
9,2010,120,RL,39,5389,Pave,236500,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,3,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,0,Gd,152,PConc,Gd,237,No,GLQ,1180,Unf,0,415,1595,GasA,Ex,TA,1995,1616,0,0,1616,1,0,2,0,2,1,Gd,5,Typ,Attchd,RFn
10,2010,60,RL,60,7500,Pave,189000,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,6,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0,TA,60,PConc,TA,140,No,Unf,0,Unf,0,994,994,GasA,Gd,TA,1999,1028,776,0,1804,0,0,2,1,3,1,Gd,7,Typ,Attchd,Fin
